# x_m, y_m, w_tr_right_m, w_tr_left_m
-44.6931724223181, -14.607734940700972, 1.5013015186830392, 1.5013015186830392
-44.5912997386827, -14.594676246528715, 1.4856080405005891, 1.4856080405005891
-44.48992987315054, -14.580406641529676, 1.4710752869924775, 1.4710752869924775
-44.389052659860226, -14.564948754449388, 1.4856080405005891, 1.4856080405005891
-44.28865793295042, -14.548325214033405, 1.5013015186830392, 1.5013015186830392
-44.188735526559775, -14.530558649027268, 1.459077191241094, 1.459077191241094
-44.089275274826946, -14.51167168817653, 1.4856080405005891, 1.4856080405005891
-43.99026701189058, -14.491686960226735, 1.4856080405005891, 1.4856080405005891
-43.8917005718893, -14.47062709392342, 1.4710752869924775, 1.4710752869924775
-43.7935657889618, -14.448514718012147, 1.5026019100214134, 1.5026019100214134
-43.69585249724669, -14.42537246123845, 1.4856080405005891, 1.4856080405005891
-43.598550530882655, -14.401222952347885, 1.4856080405005891, 1.4856080405005891
-43.50164972400831, -14.376088820085988, 1.5026019100214134, 1.5026019100214134
-43.40513991076234, -14.349992693198319, 1.4710752869924775, 1.4710752869924775
-43.30901092528337, -14.322957200430414, 1.5026019100214134, 1.5026019100214134
-43.213252601710046, -14.29500497052782, 1.4856080405005891, 1.4856080405005891
-43.11785477418104, -14.266158632236092, 1.5026019100214134, 1.5026019100214134
-43.022807276834975, -14.236440814300762, 1.4856080405005891, 1.4856080405005891
-42.92809994381052, -14.205874145467387, 1.5026019100214134, 1.5026019100214134
-42.83372260924633, -14.174481254481515, 1.4856080405005891, 1.4856080405005891
-42.739665107281034, -14.142284770088688, 1.5026019100214134, 1.5026019100214134
-42.64591727205329, -14.10930732103445, 1.4856080405005891, 1.4856080405005891
-42.552468937701754, -14.07557153606435, 1.5026019100214134, 1.5026019100214134
-42.459309938365074, -14.041100043923938, 1.4816586988912122, 1.4816586988912122
-42.36643010818189, -14.005915473358753, 1.4856080405005891, 1.4856080405005891
-42.27381928129087, -13.970040453114352, 1.4630874888399532, 1.4630874888399532
-42.181467291830636, -13.93349761193627, 1.4816586988912122, 1.4816586988912122
-42.089363973939854, -13.896309578570058, 1.5026019100214134, 1.5026019100214134
-41.997499161757176, -13.858498981761263, 1.4630874888399532, 1.4630874888399532
-41.905862689421255, -13.820088450255437, 1.5026019100214134, 1.5026019100214134
-41.81444439107072, -13.781100612798115, 1.4816586988912122, 1.4816586988912122
-41.723234100844245, -13.74155809813485, 1.4816586988912122, 1.4816586988912122
-41.63222165288047, -13.701483535011189, 1.4856080405005891, 1.4856080405005891
-41.541396881318036, -13.660899552172678, 1.4630874888399532, 1.4630874888399532
-41.450749620295596, -13.619828778364862, 1.5026019100214134, 1.5026019100214134
-41.360269703951815, -13.578293842333286, 1.5103807466993215, 1.5103807466993215
-41.26994696642533, -13.5363173728235, 1.4816586988912122, 1.4816586988912122
-41.179771241854795, -13.493921998581051, 1.4816586988912122, 1.4816586988912122
-41.089732364378854, -13.451130348351482, 1.4856080405005891, 1.4856080405005891
-40.99982016813616, -13.40796505088034, 1.4856080405005891, 1.4856080405005891
-40.91002448726535, -13.364448734913172, 1.5026019100214134, 1.5026019100214134
-40.82033515590509, -13.320604029195522, 1.4816586988912122, 1.4816586988912122
-40.73074200819404, -13.276453562472945, 1.4816586988912122, 1.4816586988912122
-40.64123487827083, -13.232019963490979, 1.5103807466993215, 1.5103807466993215
-40.55180360027411, -13.187325860995173, 1.5103807466993215, 1.5103807466993215
-40.46243800834252, -13.142393883731069, 1.4816586988912122, 1.4816586988912122
-40.37312793661474, -13.097246660444224, 1.4816586988912122, 1.4816586988912122
-40.28386321922941, -13.051906819880177, 1.5103807466993215, 1.5103807466993215
-40.19463369032515, -13.006396990784474, 1.4816586988912122, 1.4816586988912122
-40.10542918404065, -12.960739801902665, 1.4816586988912122, 1.4816586988912122
-40.01623953451454, -12.914957881980293, 1.5103807466993215, 1.5103807466993215
-39.927054575885464, -12.869073859762906, 1.5103807466993215, 1.5103807466993215
-39.83786414229208, -12.823110363996049, 1.4816586988912122, 1.4816586988912122
-39.74865875051384, -12.777088983282857, 1.4816586988912122, 1.4816586988912122
-39.65944554499851, -12.731005970583638, 1.5103807466993215, 1.5103807466993215
-39.570248829732144, -12.68483143280364, 1.4816586988912122, 1.4816586988912122
-39.48109369774866, -12.638534274572839, 1.4816586988912122, 1.4816586988912122
-39.392005242081936, -12.592083400521227, 1.4577379737113252, 1.4577379737113252
-39.30300855576589, -12.545447715278788, 1.4816586988912122, 1.4816586988912122
-39.21412873183442, -12.49859612347551, 1.5103807466993215, 1.5103807466993215
-39.12539086332141, -12.451497529741369, 1.4816586988912122, 1.4816586988912122
-39.036820043260775, -12.404120838706364, 1.4816586988912122, 1.4816586988912122
-38.9484413646864, -12.356434955000468, 1.5103807466993215, 1.5103807466993215
-38.8602799206322, -12.308408783253675, 1.4908575552345704, 1.4908575552345704
-38.77236080413204, -12.26001122809596, 1.4908575552345704, 1.4908575552345704
-38.68470910821986, -12.21121119415732, 1.5103807466993215, 1.5103807466993215
-38.59734992592953, -12.16197758606773, 1.4816586988912122, 1.4816586988912122
-38.51030835029496, -12.112279308457182, 1.5103807466993215, 1.5103807466993215
-38.42360947435005, -12.06208526595566, 1.4908575552345704, 1.4908575552345704
-38.3372783911287, -12.01136436319315, 1.4908575552345704, 1.4908575552345704
-38.2513401936648, -11.960085504799636, 1.4750529651507434, 1.4750529651507434
-38.165819974992246, -11.908217595405098, 1.4750529651507434, 1.4750529651507434
-38.08074282814494, -11.855729539639528, 1.4908575552345704, 1.4908575552345704
-37.9961338461568, -11.802590242132913, 1.4816586988912122, 1.4816586988912122
-37.912018122061696, -11.748768607515233, 1.505199322349037, 1.505199322349037
-37.828420748893535, -11.694233540416473, 1.4908575552345704, 1.4908575552345704
-37.745366819686225, -11.638953945466621, 1.4908575552345704, 1.4908575552345704
-37.66288142747366, -11.582898727295664, 1.4908575552345704, 1.4908575552345704
-37.58098965094745, -11.526036809754208, 1.4750529651507434, 1.4750529651507434
-37.49970643263942, -11.468350700533824, 1.505199322349037, 1.505199322349037
-37.41901880812634, -11.409860306464168, 1.4750529651507434, 1.4750529651507434
-37.338909051690955, -11.350591915160239, 1.4908575552345704, 1.4908575552345704
-37.25935943761609, -11.290571814237053, 1.5026019100214134, 1.5026019100214134
-37.18035224018452, -11.229826291309612, 1.4644218142324976, 1.4644218142324976
-37.101869733679024, -11.168381633992919, 1.4750529651507434, 1.4750529651507434
-37.023894192382414, -11.106264129901994, 1.4908575552345704, 1.4908575552345704
-36.94640789057745, -11.043500066651834, 1.5026019100214134, 1.5026019100214134
-36.86939310254694, -10.98011573185745, 1.4644218142324976, 1.4644218142324976
-36.79283210257366, -10.916137413133848, 1.4750529651507434, 1.4750529651507434
-36.71670716494041, -10.851591398096035, 1.4908575552345704, 1.4908575552345704
-36.641000563929964, -10.786503974359016, 1.5026019100214134, 1.5026019100214134
-36.56569457382511, -10.720901429537802, 1.5026019100214134, 1.5026019100214134
-36.490771468908655, -10.654810051247399, 1.5026019100214134, 1.5026019100214134
-36.416213523463355, -10.588256127102813, 1.5026019100214134, 1.5026019100214134
-36.342003011772036, -10.521265944719055, 1.5026019100214134, 1.5026019100214134
-36.26812220811746, -10.453865791711127, 1.5026019100214134, 1.5026019100214134
-36.194553386782424, -10.386081955694038, 1.5026019100214134, 1.5026019100214134
-36.121278822049696, -10.317940724282797, 1.5026019100214134, 1.5026019100214134
-36.04828078820209, -10.249468385092408, 1.5026019100214134, 1.5026019100214134
-35.9755415595224, -10.180691225737883, 1.5026019100214134, 1.5026019100214134
-35.90304342965606, -10.111635507004637, 1.5026019100214134, 1.5026019100214134
-35.83077301597436, -10.042321498575655, 1.5026019100214134, 1.5026019100214134
-35.75872669240246, -9.97275595111896, 1.5026019100214134, 1.5026019100214134
-35.68690217016979, -9.902943762288071, 1.5026019100214134, 1.5026019100214134
-35.61529716050575, -9.83288982973651, 1.5026019100214134, 1.5026019100214134
-35.54390937463973, -9.762599051117794, 1.5026019100214134, 1.5026019100214134
-35.47273652380116, -9.692076324085445, 1.5026019100214134, 1.5026019100214134
-35.40177631921943, -9.621326546292979, 1.5026019100214134, 1.5026019100214134
-35.33102647212395, -9.550354615393912, 1.5026019100214134, 1.5026019100214134
-35.26048469374414, -9.479165429041771, 1.5026019100214134, 1.5026019100214134
-35.19014869530938, -9.407763884890073, 1.5026019100214134, 1.5026019100214134
-35.1200161880491, -9.336154880592332, 1.5026019100214134, 1.5026019100214134
-35.05008488319269, -9.264343313802073, 1.5026019100214134, 1.5026019100214134
-34.98035249196957, -9.19233408217281, 1.5026019100214134, 1.5026019100214134
-34.910816725609145, -9.120132083358067, 1.5026019100214134, 1.5026019100214134
-34.841475295340814, -9.047742215011361, 1.5026019100214134, 1.5026019100214134
-34.77232591239399, -8.975169374786208, 1.5026019100214134, 1.5026019100214134
-34.70336628799807, -8.902418460336136, 1.4908575552345704, 1.4908575552345704
-34.63459413338248, -8.829494369314657, 1.5026019100214134, 1.5026019100214134
-34.5660071597766, -8.756401999375292, 1.5026019100214134, 1.5026019100214134
-34.49760307840986, -8.683146248171557, 1.5026019100214134, 1.5026019100214134
-34.42937960051166, -8.609732013356979, 1.5026019100214134, 1.5026019100214134
-34.361334437311406, -8.53616419258507, 1.4908575552345704, 1.4908575552345704
-34.29346530003849, -8.462447683509351, 1.5026019100214134, 1.5026019100214134
-34.225769899922334, -8.388587383783342, 1.5026019100214134, 1.5026019100214134
-34.15824594819235, -8.314588191060562, 1.5026019100214134, 1.5026019100214134
-34.09089115607794, -8.240455002994533, 1.5026019100214134, 1.5026019100214134
-34.023703234808494, -8.166192717238768, 1.5026019100214134, 1.5026019100214134
-33.95667989561343, -8.091806231446789, 1.4908575552345704, 1.4908575552345704
